Customer_ID,Age_Group,Income_Level,Living_Area
CUST-PYFUDX,18-24,High,Suburban
CUST-CQYRMJ,18-24,Low,Rural
CUST-ORAMDR,18-24,Low,Rural
CUST-NBXRAA,25-34,Medium,Urban
CUST-ZQZPBR,55+,Low,Suburban
CUST-MRGRGJ,55+,Medium,Rural
CUST-GTAOTB,18-24,Low,Rural
CUST-KKAKWK,45-54,Medium,Urban
CUST-YGSALK,55+,Low,Urban
CUST-UWYPVM,55+,Low,Urban
CUST-FOCXMB,45-54,Medium,Rural
CUST-ZEDDTG,55+,Medium,Suburban
CUST-DVXILJ,25-34,Low,Suburban
CUST-UQWBIQ,45-54,High,Urban
CUST-GOHDBW,35-44,Low,Suburban
CUST-YZVAVE,25-34,Medium,Urban
CUST-ROSFWM,18-24,Low,Suburban
CUST-HTIFEB,25-34,Medium,Urban
CUST-SATIHH,45-54,Medium,Rural
CUST-XBTYZL,18-24,Low,Urban
CUST-VYRHRH,25-34,High,Rural
CUST-MSPOOR,45-54,Low,Urban
CUST-POPCVV,45-54,High,Rural
CUST-ULOWJA,35-44,Low,Urban
CUST-SRCUIL,45-54,Low,Urban
CUST-DHOOEP,18-24,Medium,Suburban
CUST-HKCYXU,45-54,High,Rural
CUST-WMUPCF,55+,Low,Suburban
CUST-MAKZJQ,35-44,High,Urban
CUST-DPCBFN,35-44,Medium,Urban
CUST-JBXUJU,45-54,High,Rural
CUST-CRSLQM,35-44,Low,Suburban
CUST-YDPRKI,45-54,Medium,Rural
CUST-UEDGVO,45-54,Low,Urban
CUST-MRVIGL,35-44,High,Suburban
CUST-FRIDUZ,25-34,High,Urban
CUST-BJUYFU,18-24,Medium,Suburban
CUST-XOVPIH,18-24,Medium,Suburban
CUST-QZAVXJ,35-44,High,Urban
CUST-QMAIJA,18-24,Low,Rural
CUST-RWQDIZ,55+,Medium,Suburban
CUST-SJWVXL,45-54,Medium,Rural
CUST-PZDYIP,45-54,High,Rural
CUST-CCUHQB,25-34,Medium,Suburban
CUST-EPMJJZ,18-24,High,Urban
CUST-VVBPWB,55+,Medium,Rural
CUST-KVGKCD,45-54,High,Urban
CUST-VUODWE,55+,Medium,Rural
CUST-UWYPVM,55+,Low,Rural
CUST-FTZKRZ,35-44,High,Rural
CUST-ZEDDTG,55+,Medium,Suburban
CUST-SOSHLN,35-44,High,Suburban
CUST-0LCNRL,35-44,Medium,Urban
CUST-CJMOTI,55+,Medium,Rural
CUST-LUWPQS,45-54,Medium,Suburban
CUST-CAWEZD,35-44,Low,Rural
CUST-STSIWM,25-34,Medium,Rural
CUST-RHAJJC,25-34,Medium,Urban
CUST-IYVAZU,25-34,Medium,Rural
CUST-ZQZPBR,45-54,High,Urban
CUST-LFYSRB,45-54,High,Urban
CUST-DWIFBM,55+,High,Rural
CUST-PXVDRY,45-54,Medium,Urban
CUST-IXUGVN,45-54,Low,Suburban
CUST-GUKNBS,18-24,High,Suburban
CUST-TIUERI,35-44,High,Urban
CUST-ZJDBYL,35-44,Medium,Suburban
CUST-PLXEDI,25-34,Medium,Rural
CUST-DNSXFW,45-54,Medium,Urban
CUST-TUQHIJ,25-34,Medium,Suburban
CUST-SRCUIL,45-54,Medium,Urban
CUST-KXPYKC,25-34,Low,Rural
CUST-SGHWPM,35-44,Low,Rural
CUST-IDXVPY,45-54,High,Rural
CUST-LRUTQF,25-34,High,Urban
CUST-PBBBXL,45-54,High,Urban
CUST-ESLFDX,25-34,Medium,Rural
CUST-IVHCTA,18-24,Low,Suburban
CUST-CRSLQM,55+,Low,Suburban
CUST-QLCHOB,45-54,Medium,Urban
CUST-WHGRVS,18-24,Medium,Rural
CUST-XZQGXK,45-54,Low,Urban
CUST-JEIILL,55+,Low,Urban
CUST-TCNUIV,25-34,Medium,Rural
CUST-QCQHAY,55+,Low,Suburban
CUST-EQJHOG,35-44,High,Urban
CUST-OCDINL,25-34,Low,Suburban
CUST-YPD0A0,35-44,High,Urban
CUST-SVZRPL,18-24,Medium,Suburban
CUST-KQQAJZ,18-24,High,Urban
CUST-ESLFDX,45-54,High,Suburban
CUST-XBTYZL,18-24,Medium,Suburban
CUST-ROAVXZ,45-54,High,Suburban
CUST-ACWNBB,55+,High,Urban
CUST-MDJJFP,18-24,Medium,Urban
CUST-LFYSRB,18-24,Medium,Urban
CUST-KQPISI,45-54,High,Rural
CUST-LTXPIN,25-34,Low,Urban
CUST-BWRLAG,35-44,Medium,Suburban
CUST-WWEDDL,35-44,Low,Rural
CUST-CEHZBV,35-44,Low,Urban
CUST-NGQYCB,55+,High,Suburban
CUST-PRKQGZ,35-44,Low,Rural
CUST-NBXRAA,25-34,Medium,Urban
CUST-IBSMEN,25-34,Medium,Suburban
CUST-RDLGMG,45-54,Medium,Rural
CUST-OCTWMB,55+,Low,Suburban
CUST-CXBDKJ,55+,High,Suburban
CUST-YBZPYF,45-54,Low,Rural
CUST-VGFPDL,55+,Medium,Urban
CUST-CCUHQB,18-24,Medium,Rural
CUST-YGSALK,55+,Low,Urban
CUST-PVKDBF,25-34,Medium,Rural
CUST-RBSQJY,25-34,Low,Suburban
CUST-PIMZWH,18-24,High,Suburban
CUST-RYWPQT,18-24,High,Rural
CUST-CTECGK,45-54,Low,Rural
CUST-TIEYQZ,45-54,High,Rural
CUST-NAHFVZ,55+,High,Urban
CUST-QXQMUP,45-54,High,Urban
CUST-FTCASX,35-44,Low,Urban
CUST-DVYQGK,35-44,Low,Rural
CUST-QNSNOK,35-44,Medium,Suburban
CUST-QCESUJ,55+,High,Suburban
CUST-UEGKDS,45-54,Medium,Urban
CUST-PXVDRY,18-24,High,Urban
CUST-UWYPVM,35-44,Medium,Rural
CUST-UZHYCU,35-44,Medium,Rural
CUST-DPCBFN,25-34,High,Rural
CUST-BUBJHF,45-54,Low,Rural
CUST-ZQNUDE,55+,High,Rural
CUST-QDCALK,25-34,Medium,Suburban
CUST-QCQHAY,25-34,Low,Suburban
CUST-OLTCJM,45-54,High,Rural
CUST-TFEJMN,45-54,High,Urban
CUST-CCUHQB,45-54,High,Urban
CUST-HBFRYF,45-54,Medium,Rural
CUST-RCXLSW,45-54,High,Suburban
CUST-KDMJDZ,18-24,Medium,Urban
CUST-UHVSCI,45-54,Low,Suburban
CUST-DCBCIF,25-34,Low,Urban
CUST-DXWBTH,45-54,Low,Rural
CUST-IJBRNL,25-34,Medium,Rural
CUST-ULOWJA,25-34,Medium,Urban
CUST-OFBBCO,55+,High,Rural
CUST-ZNYCRP,18-24,High,Rural
CUST-BZVZZQ,35-44,High,Urban
CUST-ENWBIB,35-44,Medium,Suburban
CUST-ZBNMQD,18-24,Medium,Urban
CUST-PYFUDX,35-44,Low,Suburban
CUST-LFECGL,35-44,Low,Rural
CUST-EBQWDR,25-34,High,Urban
CUST-VMJJZX,18-24,Low,Rural
CUST-DAYGHS,35-44,Low,Urban
CUST-QFWMFF,18-24,Low,Suburban
CUST-LUXHPK,35-44,Medium,Rural
CUST-OLTCJM,35-44,High,Urban
CUST-TMBFJM,45-54,Medium,Suburban
CUST-RNJKQJ,18-24,Medium,Urban
CUST-YLHFJB,45-54,High,Urban
CUST-MENOFI,35-44,Low,Rural
CUST-SDHFZM,18-24,Medium,Suburban
CUST-QDCGMD,18-24,Medium,Suburban
CUST-SPNGND,18-24,Medium,Suburban
CUST-YPMPDM,25-34,High,Rural
CUST-SDMHQJ,55+,Low,Urban
CUST-RJDCOJ,18-24,Low,Suburban
CUST-ERETLE,18-24,High,Rural
CUST-CEJXCG,25-34,Medium,Suburban
CUST-NQIVTC,45-54,Medium,Suburban
CUST-LLHKLP,18-24,High,Rural
CUST-BRPKNI,35-44,High,Suburban
CUST-RWVLPD,35-44,Medium,Rural
CUST-BZVZZQ,18-24,Medium,Urban
CUST-EBESWD,25-34,Medium,Rural
CUST-ICILUO,25-34,Medium,Urban
CUST-RIMHKL,55+,Medium,Suburban
CUST-CXBDKJ,45-54,Medium,Urban
CUST-PUTJMU,18-24,Medium,Urban
CUST-KIPWRP,18-24,Medium,Rural
CUST-WINYRB,18-24,Low,Urban
CUST-OJAJKO,45-54,Low,Suburban
CUST-GOZBZA,35-44,High,Suburban
CUST-BENCRG,35-44,High,Suburban
CUST-QZGIRM,25-34,Low,Urban
CUST-UHVSCI,45-54,Low,Urban
CUST-LLYVGI,45-54,High,Suburban
CUST-JOAPXU,55+,Low,Rural
CUST-SYEZYZ,45-54,Medium,Rural
CUST-0LCNRL,35-44,Medium,Suburban
CUST-POPCVV,55+,High,Urban
CUST-RKAYXK,45-54,Low,Suburban
CUST-LHHFXX,55+,High,Rural
CUST-AIFNIY,55+,High,Urban
CUST-MOCWBR,35-44,Low,Urban
CUST-TMBFJM,55+,Low,Suburban
CUST-FGNEUF,18-24,Low,Urban
CUST-AEAJZH,18-24,High,Urban
CUST-ATHDUR,18-24,Low,Rural
CUST-KODHFY,55+,High,Suburban
CUST-YGYKOL,45-54,Low,Rural
CUST-QCTBWO,25-34,Medium,Rural
CUST-KIJSVR,35-44,Medium,Suburban
CUST-DVXILJ,25-34,Medium,Suburban
CUST-BNFQTK,35-44,High,Rural
CUST-HBFRYF,18-24,High,Rural
CUST-DKUZEJ,25-34,Medium,Suburban
CUST-ZRGZTN,18-24,High,Urban
CUST-HTXTFQ,45-54,High,Suburban
CUST-ENQBOG,35-44,High,Suburban
CUST-EKQUIY,35-44,High,Urban
CUST-P000QT,25-34,Medium,Rural
CUST-UQRMEL,25-34,Medium,Rural
CUST-FTZKRZ,18-24,Medium,Suburban
CUST-GLBAGE,45-54,Medium,Suburban
CUST-LTVMUX,55+,Low,Suburban
CUST-JNDCYO,25-34,Medium,Urban
CUST-WAIULK,55+,Low,Suburban
CUST-ITUGIR,55+,Low,Urban
CUST-QZGIRM,35-44,Low,Suburban
CUST-ATHDUR,35-44,High,Urban
CUST-LKJPCT,18-24,High,Urban
CUST-ISBGAR,18-24,Low,Urban
CUST-SOXWMJ,18-24,Medium,Urban
CUST-VQNKAP,25-34,High,Suburban
CUST-MRJNDQ,45-54,High,Rural
CUST-UZIWCW,35-44,Low,Rural
CUST-EXEPUG,18-24,Low,Rural
CUST-HJFYNA,45-54,Medium,Rural
CUST-YZVAVE,25-34,High,Suburban
CUST-NRPKKI,25-34,High,Urban
CUST-VVBPWB,25-34,Low,Rural
CUST-UEDGVO,45-54,Low,Rural
CUST-RUEBNC,25-34,High,Rural
CUST-LMOAQJ,18-24,High,Suburban
CUST-ASZDCH,45-54,Low,Suburban
CUST-UMDOZP,55+,Low,Rural
CUST-XEAWHV,35-44,Medium,Suburban
CUST-FASKQL,18-24,High,Suburban
CUST-AUVAWV,18-24,Medium,Suburban
CUST-CGMGEH,55+,High,Rural
CUST-LHHFXX,25-34,Medium,Suburban
CUST-BENCRG,18-24,High,Suburban
CUST-NRBIXS,18-24,Medium,Suburban
CUST-RCXLSW,35-44,Low,Urban
CUST-MGPXOM,55+,Low,Urban
CUST-DPCBFN,18-24,High,Urban
CUST-KT0YZQ,18-24,High,Rural
CUST-NEXGPL,25-34,Low,Suburban
CUST-XRANNB,18-24,Medium,Rural
CUST-KLQSAJ,25-34,Medium,Rural
CUST-KANEGW,35-44,Medium,Suburban
CUST-MRVIGL,45-54,High,Urban
CUST-HOXTLN,35-44,High,Rural
CUST-TIUERI,35-44,Low,Urban
CUST-JQNFGV,18-24,Medium,Rural
CUST-VZVPBN,25-34,High,Suburban
CUST-CGMGEH,45-54,Low,Urban
CUST-MDWCMT,35-44,Medium,Suburban
CUST-KQPISI,45-54,High,Urban
CUST-RMTMYP,35-44,Medium,Rural
CUST-YKWDPO,45-54,High,Suburban
CUST-SGHWPM,25-34,Medium,Urban
CUST-ZMLJSQ,25-34,Medium,Rural
CUST-DNVFKA,55+,Low,Suburban
CUST-CHWYPJ,45-54,Low,Rural
CUST-ROSFWM,55+,Low,Suburban
CUST-PZDYIP,45-54,High,Rural
CUST-IXDGEA,45-54,High,Urban
CUST-XXVULS,55+,Low,Rural
CUST-GKHFIY,55+,Medium,Rural
CUST-CRSLQM,25-34,High,Urban
CUST-WWYGFY,55+,Low,Rural
CUST-JQABOT,35-44,Low,Urban
CUST-BCZJXB,35-44,High,Urban
CUST-DCBCIF,45-54,Medium,Urban
CUST-WURETA,25-34,Low,Rural
CUST-VPVGLU,55+,Low,Suburban
CUST-ODANJT,25-34,Low,Suburban
CUST-SNEUBT,18-24,Medium,Rural
CUST-CZNFXM,18-24,High,Urban
CUST-GWVHTV,35-44,High,Urban
CUST-IJJTON,55+,Low,Suburban
CUST-RRTFGE,35-44,High,Suburban
CUST-SGYQGR,45-54,Low,Urban
CUST-QHTKHY,45-54,High,Rural
CUST-ZGTQAF,45-54,Low,Urban
CUST-QAVMBM,55+,Medium,Urban
CUST-PBYTWS,35-44,Medium,Urban
CUST-CXRNKY,45-54,Medium,Rural
CUST-QWBXEZ,55+,Medium,Suburban
CUST-UDZBRN,18-24,High,Urban
CUST-LLNPCC,55+,Low,Rural
CUST-RAYJ0S,25-34,Low,Suburban
CUST-MIAKEC,25-34,Low,Rural
CUST-KIJSVR,35-44,Low,Urban
CUST-NN0SKV,45-54,High,Suburban
CUST-BBICOG,18-24,High,Suburban
CUST-VHGQYQ,55+,High,Urban
CUST-GGSUPK,35-44,High,Suburban
CUST-LUXHPK,45-54,Low,Urban
CUST-GQFWOI,45-54,High,Rural
CUST-XKXLFE,45-54,Medium,Urban
CUST-IGIBJW,25-34,Medium,Suburban
CUST-URVTRD,25-34,Medium,Suburban
CUST-FGNEUF,45-54,High,Suburban
CUST-SGLXKI,25-34,Low,Suburban
CUST-EPMJJZ,45-54,High,Suburban
CUST-ZQNUDE,35-44,Medium,Suburban
CUST-OKIAWP,35-44,High,Urban
CUST-MRVIGL,25-34,Low,Rural
CUST-QMPXSA,45-54,Low,Suburban
CUST-EEBGRX,35-44,High,Suburban
CUST-PGJYWE,18-24,Medium,Rural
CUST-CSQPSW,35-44,High,Urban
CUST-GBSGJO,18-24,Low,Suburban
CUST-ONUWIW,45-54,High,Rural
CUST-XGLJZB,55+,Low,Urban
CUST-QKIHVH,18-24,Medium,Urban
CUST-TYEIMG,35-44,Low,Rural
CUST-DQACYF,18-24,High,Rural
CUST-GUOVKX,25-34,Low,Urban
CUST-QDCGMD,25-34,Medium,Urban
CUST-MIAKEC,45-54,Medium,Suburban
CUST-JXAFMH,35-44,Medium,Suburban
CUST-LFRXOC,45-54,High,Urban
CUST-JTIHIY,55+,Low,Rural
CUST-WKKHJY,18-24,Medium,Suburban
CUST-PVKDBF,18-24,Low,Rural
CUST-QWTKZW,35-44,High,Rural
CUST-LFYSRB,45-54,High,Suburban
CUST-JRAPDA,45-54,High,Suburban
CUST-DUKUTK,45-54,Medium,Suburban
CUST-NANNCD,18-24,Low,Rural
CUST-USJIBJ,18-24,Medium,Rural
CUST-CXBDKJ,55+,Low,Urban
CUST-OLTCJM,18-24,Medium,Urban
CUST-BCSN0D,45-54,High,Rural
CUST-IVAMMC,55+,High,Urban
CUST-KT0YZQ,25-34,Low,Urban
CUST-FWLXFS,35-44,High,Suburban
CUST-VYLDOZ,55+,Medium,Rural
CUST-SXQGJD,18-24,Medium,Suburban
CUST-HAFUDN,18-24,High,Rural
CUST-IIIRYY,25-34,Low,Rural
CUST-QKIHVH,18-24,High,Rural
CUST-KLQSAJ,55+,High,Urban
CUST-DWERGD,18-24,Low,Urban
CUST-SGYQGR,25-34,Medium,Rural
CUST-WRYLAD,35-44,Low,Suburban
CUST-QXQMUP,25-34,Medium,Urban
CUST-ZMVXOV,35-44,Low,Rural
CUST-XNEAWP,55+,Medium,Suburban
CUST-PDVTVV,25-34,High,Suburban
CUST-NSHHOL,18-24,Medium,Urban
CUST-DPOYIH,55+,Low,Urban
CUST-PBBBXL,45-54,Medium,Urban
CUST-RDXCCI,55+,Medium,Suburban
CUST-ERETLE,55+,High,Suburban
CUST-BJJXIS,18-24,High,Urban
CUST-LKUZJT,25-34,High,Suburban
CUST-ONUWIW,55+,High,Suburban
CUST-DDJHUK,35-44,Low,Urban
CUST-URPHGZ,25-34,Low,Urban
CUST-0QFIEJ,55+,Low,Suburban
CUST-KQPISI,18-24,High,Suburban
CUST-IETYRQ,25-34,High,Urban
CUST-TKIFYH,18-24,Medium,Urban
CUST-BFXGWJ,55+,Medium,Rural
CUST-TMWVFN,25-34,Low,Suburban
CUST-CQHVME,18-24,Medium,Suburban
CUST-SZGPAO,35-44,High,Urban
CUST-SSCABG,25-34,Medium,Suburban
CUST-FESPPP,18-24,Medium,Rural
CUST-RNJKQJ,18-24,Medium,Suburban
CUST-HFOUOI,45-54,Medium,Urban
CUST-DPOYIH,55+,High,Suburban
CUST-QZGIRM,55+,Medium,Rural
CUST-QCTBWO,18-24,Low,Rural
CUST-UHVSCI,55+,High,Suburban
CUST-YIIUJR,35-44,Medium,Urban
CUST-ZNYCRP,55+,Low,Rural
CUST-IIGGGS,25-34,High,Rural
CUST-CHWYPJ,55+,Medium,Rural
CUST-JTIHIY,45-54,Medium,Rural
CUST-HLJBYT,55+,Medium,Urban
CUST-QJFGMA,25-34,Low,Rural
CUST-AOORMS,25-34,Medium,Rural
CUST-GOHDBW,35-44,High,Suburban
CUST-VMJJZX,45-54,Low,Rural
CUST-TFEJMN,55+,High,Suburban
CUST-DVIZFV,18-24,Low,Urban
CUST-PQVOEO,55+,Medium,Rural
CUST-WEOLWV,45-54,Low,Suburban
CUST-YLGFWS,35-44,High,Suburban
CUST-YUBLAQ,45-54,High,Urban
CUST-CHWYPJ,35-44,Medium,Suburban
CUST-KWCSBX,25-34,Low,Urban
CUST-UEGKDS,45-54,Low,Suburban
CUST-FSXOID,25-34,Low,Rural
CUST-DKUZEJ,35-44,Low,Rural
CUST-WTDDJW,55+,High,Urban
CUST-JSJGDY,25-34,High,Suburban
CUST-PHAQMD,55+,Medium,Urban
CUST-MYHYST,25-34,High,Rural
CUST-GWVHTV,35-44,Medium,Rural
CUST-COJKRQ,45-54,High,Rural
CUST-JCBFHS,55+,Medium,Urban
CUST-IBOXFG,25-34,High,Urban
CUST-FTCASX,18-24,High,Urban
CUST-SGSTOO,35-44,Medium,Urban
CUST-ZRGZTN,45-54,Medium,Urban
CUST-ZUCXJW,25-34,Low,Suburban
CUST-RIRDWS,45-54,Low,Urban
CUST-IHRWOR,35-44,Medium,Suburban
CUST-BWRLAG,35-44,Medium,Rural
CUST-QRWRCV,18-24,Medium,Rural
CUST-BSIJPB,18-24,High,Rural
CUST-KANEGW,18-24,Medium,Rural
CUST-ETTPKF,25-34,Low,Suburban
CUST-TVDOJG,18-24,Low,Rural
CUST-NAWWUX,45-54,Medium,Suburban
CUST-RWQDIZ,25-34,Medium,Urban
CUST-SZGFEC,45-54,Medium,Suburban
CUST-YPDYNA,35-44,Medium,Urban
CUST-KKKPVV,35-44,Medium,Rural
CUST-KQJJQD,25-34,High,Rural
CUST-XJQCTZ,25-34,Low,Suburban
CUST-MHATCF,45-54,High,Suburban
CUST-GGRPWF,45-54,High,Urban
CUST-BZIYUX,45-54,Low,Suburban
CUST-QTBDQU,45-54,Medium,Rural
CUST-FASKQL,35-44,Low,Rural
CUST-ZPEKAH,35-44,High,Suburban
CUST-FVWVBM,55+,Medium,Urban
CUST-FTCASX,35-44,Low,Suburban
CUST-TRMNQN,55+,Low,Suburban
CUST-COJKRQ,35-44,High,Suburban
CUST-BYOGRN,35-44,Medium,Urban
CUST-FXVKSO,18-24,Medium,Urban
CUST-KKKPVV,55+,High,Rural
CUST-SZGFEC,45-54,High,Rural
CUST-JUWXSS,55+,Medium,Urban
CUST-SGYQGR,45-54,Low,Urban
CUST-XNEAWP,45-54,High,Rural
CUST-DMCXTO,35-44,High,Urban
CUST-JRZRQJ,25-34,Medium,Rural
CUST-DXWBTH,25-34,Low,Rural
CUST-ZMBPFR,35-44,Medium,Suburban
CUST-VZVPBN,45-54,Low,Suburban
CUST-GVSCAA,55+,Medium,Suburban
CUST-SEXCVQ,35-44,Low,Suburban
CUST-GDSKTR,18-24,Medium,Urban
CUST-YEBYLN,18-24,Low,Urban
CUST-NBXRAA,25-34,High,Urban
CUST-YELJLD,55+,Medium,Suburban
CUST-AXUZAC,18-24,Low,Urban
CUST-RRTFGE,18-24,Low,Suburban
CUST-EFAKSZ,18-24,Low,Rural
CUST-CMWKPV,35-44,Low,Suburban
CUST-TKZFVN,25-34,High,Urban
CUST-FGNEUF,18-24,Low,Urban
CUST-SSCABG,35-44,Medium,Suburban
CUST-RYWPQT,18-24,High,Urban
CUST-YEDYUG,55+,Low,Rural
CUST-VDSRHI,55+,Low,Urban
CUST-ZLTATA,35-44,High,Suburban
CUST-ZELJWU,35-44,High,Rural
CUST-DXWBTH,55+,High,Rural
CUST-MRVIGL,45-54,High,Suburban
CUST-UWYPVM,55+,Medium,Urban
CUST-XSDDEV,18-24,Low,Rural
CUST-IJFSYZ,45-54,Low,Rural
CUST-LBLNML,35-44,Low,Urban
CUST-HOXTLN,45-54,Low,Suburban
CUST-HPIPIB,45-54,High,Urban
CUST-XDMPUD,45-54,Low,Rural
CUST-AMKBQV,45-54,High,Rural
CUST-PLXEDI,45-54,Low,Suburban
CUST-ENQBOG,55+,Low,Rural
CUST-MDBLHX,55+,High,Urban
CUST-MZAUJF,55+,Low,Urban
CUST-PHTXOR,25-34,High,Rural
CUST-QLCHOB,45-54,Medium,Urban
CUST-DBCXZG,18-24,Medium,Urban
CUST-HNQVTK,35-44,High,Urban
CUST-OKIAWP,25-34,Medium,Urban
CUST-CVDUZV,45-54,High,Urban
CUST-TTDVWW,35-44,Medium,Suburban
CUST-KOVZHG,55+,Medium,Rural
CUST-YEBYLN,25-34,High,Suburban
CUST-YIOQIB,18-24,High,Urban
CUST-NJT0FM,25-34,Low,Rural
CUST-HAFUDN,55+,High,Rural
CUST-UAUBYI,18-24,Low,Urban
CUST-ZRGZTN,18-24,Medium,Rural
CUST-IJBRNL,35-44,Low,Rural
CUST-RWUAHN,18-24,Medium,Suburban
CUST-GXRFRI,35-44,Low,Rural
CUST-RPKSUW,45-54,High,Suburban
CUST-EBESWD,18-24,High,Rural
