Order_ID,Customer_ID,Order_Amount,Order_Date,Order_Status,Product,Payment_Method
CUST-GLBGLV,CUST-PCKIPI,60,2024-09-06,Pending,VoIP Service,Credit Card
CUST-GDLUQS,CUST-MVLPBX,119,2024-09-07,Pending,VoIP Service,Direct Debit
CUST-RWVEAB,CUST-PLXEDI,99,2024-09-08,Cancelled,TV + Internet Bundle,Credit Card
CUST-ELOGMS,CUST-BIVXZS,40,2024-09-09,Completed,VoIP Service,PayPal
CUST-DPSJDG,CUST-IDVYOK,127,2024-09-10,Cancelled,Fiber 1 Gbps,PayPal
CUST-LHYNJH,CUST-EQJHOG,48,2024-09-11,Pending,VoIP Service,PayPal
CUST-OZGQUY,CUST-ETTPKF,126,2024-09-12,Completed,Fiber 500 Mbps,Credit Card
CUST-OSFHQI,CUST-TEHYLZ,88,2024-09-13,Completed,TV + Internet Bundle,Direct Debit
CUST-BQDVPR,CUST-WURETA,56,2024-09-14,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-IUXGLX,CUST-KLRPTR,35,2024-09-15,Completed,VoIP Service,PayPal
CUST-WQFDZC,CUST-GKHFIY,56,2024-09-16,Cancelled,VoIP Service,Direct Debit
CUST-NFWOGZ,CUST-BFFQDK,44,2024-09-17,Completed,Mobile Unlimited,Credit Card
CUST-NDPENJ,CUST-XWELRG,35,2024-09-18,Completed,Mobile Unlimited,Direct Debit
CUST-MOQSZN,CUST-TWRMNI,103,2024-09-19,Completed,Fiber 500 Mbps,PayPal
CUST-DMYQGM,CUST-YOXXWE,32,2024-09-20,Cancelled,Fiber 1 Gbps,Credit Card
CUST-XOSOLO,CUST-MGGOBL,98,2024-09-21,Cancelled,Mobile Unlimited,PayPal
CUST-EHOHUJ,CUST-EFWEPI,130,2024-09-22,Completed,TV + Internet Bundle,PayPal
CUST-UASMZB,CUST-UQRMEL,147,2024-09-23,Completed,Fiber 1 Gbps,Direct Debit
CUST-NIROUD,CUST-QTBDQU,101,2024-09-24,Pending,VoIP Service,Credit Card
CUST-GUDVOD,CUST-GZKUYR,133,2024-09-25,Cancelled,Mobile Unlimited,Credit Card
CUST-SNQIYW,CUST-YKOOWP,85,2024-09-26,Completed,Fiber 1 Gbps,PayPal
CUST-DDJDMX,CUST-NPBE0V,25,2024-09-27,Pending,Fiber 1 Gbps,PayPal
CUST-LIVOMZ,CUST-SGSTOO,101,2024-09-28,Completed,Fiber 1 Gbps,PayPal
CUST-XACWPE,CUST-MVLPBX,140,2024-09-29,Pending,Mobile Unlimited,Direct Debit
CUST-ASXMOD,CUST-QDCGMD,83,2024-09-30,Pending,Mobile Unlimited,Credit Card
CUST-AEZNSH,CUST-NEIVBH,148,2024-10-01,Completed,Fiber 1 Gbps,Credit Card
CUST-RHMDSF,CUST-TFEJMN,42,2024-10-02,Cancelled,VoIP Service,PayPal
CUST-EZLLRU,CUST-IGIBJW,105,2024-10-03,Completed,Mobile Unlimited,Direct Debit
CUST-GKMBXR,CUST-RJJVTW,22,2024-10-04,Cancelled,Fiber 500 Mbps,Credit Card
CUST-UZBBYQ,CUST-TUQHIJ,52,2024-10-05,Pending,Mobile Unlimited,PayPal
CUST-QCXOSS,CUST-UGBOKZ,96,2024-10-06,Completed,Fiber 1 Gbps,PayPal
CUST-ITRKNX,CUST-QCQHAY,36,2024-10-07,Completed,Fiber 1 Gbps,Direct Debit
CUST-FDVGHD,CUST-SYASAA,83,2024-10-08,Pending,Fiber 1 Gbps,Direct Debit
CUST-NRQQDT,CUST-DIMBOY,20,2024-10-09,Cancelled,Mobile Unlimited,PayPal
CUST-BGCUXY,CUST-VMJJZX,78,2024-10-10,Completed,Mobile Unlimited,Credit Card
CUST-RJHSOH,CUST-SSCABG,63,2024-10-11,Cancelled,Mobile Unlimited,Credit Card
CUST-AOOVTX,CUST-GDLSKA,115,2024-10-12,Pending,Fiber 500 Mbps,PayPal
CUST-HADRDS,CUST-RWCABU,66,2024-10-13,Cancelled,Fiber 500 Mbps,PayPal
CUST-AWADUS,CUST-LTVMUX,135,2024-10-14,Cancelled,Fiber 1 Gbps,Direct Debit
CUST-XJTWUH,CUST-WFFDVN,88,2024-10-15,Completed,Fiber 1 Gbps,PayPal
CUST-RSXMSH,CUST-MRGRGJ,102,2024-10-16,Cancelled,Fiber 500 Mbps,PayPal
CUST-MZOIAM,CUST-WMGAAV,101,2024-10-17,Cancelled,VoIP Service,PayPal
CUST-NEGINT,CUST-UZHYCU,69,2024-10-18,Cancelled,Fiber 1 Gbps,Credit Card
CUST-HACOFB,CUST-XWELRG,82,2024-10-19,Cancelled,Fiber 1 Gbps,Direct Debit
CUST-ECKWEH,CUST-QNBFRZ,25,2024-10-20,Cancelled,VoIP Service,PayPal
CUST-NGBHOD,CUST-VUODWE,79,2024-10-21,Completed,TV + Internet Bundle,Credit Card
CUST-ZEQZDJ,CUST-MRGRGJ,101,2024-10-22,Cancelled,TV + Internet Bundle,Direct Debit
CUST-AVLDPU,CUST-PHAQMD,83,2024-10-23,Cancelled,Mobile Unlimited,Direct Debit
CUST-GPXPZY,CUST-YKQYPP,70,2024-10-24,Pending,Mobile Unlimited,Credit Card
CUST-WNFWPM,CUST-0PS0NU,24,2024-10-25,Completed,Fiber 500 Mbps,PayPal
CUST-JWMWLU,CUST-TILJTQ,79,2024-10-26,Completed,Fiber 500 Mbps,Credit Card
CUST-RCCKPZ,CUST-IYVAZU,87,2024-10-27,Pending,TV + Internet Bundle,Credit Card
CUST-WQVKYV,CUST-WHAKCY,83,2024-10-28,Pending,Mobile Unlimited,Direct Debit
CUST-BZXVDN,CUST-QJXXNX,107,2024-10-29,Completed,TV + Internet Bundle,PayPal
CUST-CEWHTM,CUST-ERETLE,88,2024-10-30,Completed,VoIP Service,PayPal
CUST-RQZSAE,CUST-IIXSHB,110,2024-10-31,Pending,TV + Internet Bundle,Direct Debit
CUST-STNBPI,CUST-DXWBTH,61,2024-11-01,Cancelled,Fiber 500 Mbps,PayPal
CUST-AZCZHV,CUST-SVZRPL,49,2024-11-02,Cancelled,TV + Internet Bundle,Credit Card
CUST-VVTFAC,CUST-COTGVV,110,2024-11-03,Completed,Fiber 500 Mbps,PayPal
CUST-KOQODC,CUST-WCWODX,39,2024-11-04,Pending,Fiber 1 Gbps,Direct Debit
CUST-FIZOJD,CUST-HPPBTX,86,2024-11-05,Pending,TV + Internet Bundle,PayPal
CUST-IANMUO,CUST-QWBXEZ,61,2024-11-06,Pending,TV + Internet Bundle,Direct Debit
CUST-YOEJCY,CUST-JSJXXR,124,2024-11-07,Cancelled,Fiber 1 Gbps,Direct Debit
CUST-SOTRLT,CUST-GXRFRI,120,2024-11-08,Pending,TV + Internet Bundle,Credit Card
CUST-ZOJBOD,CUST-QKIHVH,79,2024-11-09,Cancelled,VoIP Service,Credit Card
CUST-CSPTFD,CUST-JRZRQJ,120,2024-11-10,Cancelled,TV + Internet Bundle,Credit Card
CUST-DGVGUB,CUST-OHMWPS,137,2024-11-11,Cancelled,Mobile Unlimited,Direct Debit
CUST-LGKCFH,CUST-MLCHWG,31,2024-11-12,Pending,VoIP Service,Direct Debit
CUST-OFMCWV,CUST-CTXUBV,75,2024-11-13,Completed,Fiber 500 Mbps,Credit Card
CUST-LRSIJD,CUST-EOUSHW,43,2024-11-14,Cancelled,TV + Internet Bundle,Direct Debit
CUST-OGOOLA,CUST-CWWMCC,92,2024-11-15,Completed,Mobile Unlimited,PayPal
CUST-UDVKMW,CUST-WPMJVW,143,2024-11-16,Completed,TV + Internet Bundle,Direct Debit
CUST-DREXPB,CUST-GPJBJX,36,2024-11-17,Pending,VoIP Service,PayPal
CUST-RMQION,CUST-VDSRHI,124,2024-11-18,Completed,Mobile Unlimited,PayPal
CUST-XEAOIG,CUST-P000QT,60,2024-11-19,Cancelled,VoIP Service,Direct Debit
CUST-EXEQNO,CUST-ILOYXD,30,2024-11-20,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-OPNXAY,CUST-FTZKRZ,108,2024-11-21,Pending,Mobile Unlimited,Direct Debit
CUST-XEPGKQ,CUST-EWSUXM,140,2024-11-22,Cancelled,Mobile Unlimited,Direct Debit
CUST-BPHJVZ,CUST-STOSSL,38,2024-11-23,Cancelled,Fiber 500 Mbps,Credit Card
CUST-OUZIWG,CUST-WWEDDL,64,2024-11-24,Completed,TV + Internet Bundle,Credit Card
CUST-KQRFZU,CUST-MLJRYA,109,2024-11-25,Completed,Fiber 500 Mbps,PayPal
CUST-CZEBZY,CUST-QNSNOK,144,2024-11-26,Pending,VoIP Service,Credit Card
CUST-ZWFMGW,CUST-SBZJDH,37,2024-11-27,Completed,Fiber 1 Gbps,Credit Card
CUST-JRYHBJ,CUST-CAAFCG,120,2024-11-28,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-RJTSZX,CUST-YKOOWP,57,2024-11-29,Pending,Mobile Unlimited,PayPal
CUST-VEVLIQ,CUST-SGYQGR,89,2024-11-30,Pending,Fiber 1 Gbps,PayPal
CUST-UPKLKD,CUST-JUWXSS,31,2024-12-01,Completed,VoIP Service,PayPal
CUST-QXXGVA,CUST-EOUSHW,127,2024-12-02,Completed,Mobile Unlimited,PayPal
CUST-RDGUBY,CUST-FXVKSO,35,2024-12-03,Pending,Fiber 500 Mbps,Direct Debit
CUST-HXSJVK,CUST-QXPWZY,149,2024-12-04,Completed,Fiber 1 Gbps,Direct Debit
CUST-GFQRHF,CUST-VXUZWJ,79,2024-12-05,Completed,TV + Internet Bundle,PayPal
CUST-DEYAQX,CUST-GGRPWF,75,2024-12-06,Completed,Mobile Unlimited,PayPal
CUST-SHLAOY,CUST-ZPEKAH,125,2024-12-07,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-PSZYMR,CUST-DPCBFN,57,2024-12-08,Completed,VoIP Service,PayPal
CUST-LUNPOJ,CUST-YFFCIN,144,2024-12-09,Pending,Fiber 1 Gbps,PayPal
CUST-XBYQOS,CUST-ROSFWM,86,2024-12-10,Pending,Mobile Unlimited,Direct Debit
CUST-FGCYMP,CUST-WLNZWL,149,2024-12-11,Pending,TV + Internet Bundle,Credit Card
CUST-AJVPSF,CUST-XXVULS,34,2024-12-12,Pending,TV + Internet Bundle,PayPal
CUST-TEFYPD,CUST-YLGFWS,57,2024-12-13,Pending,Fiber 500 Mbps,Credit Card
CUST-QSPYLW,CUST-YFBUOE,136,2024-12-14,Cancelled,Mobile Unlimited,Direct Debit
CUST-JOZCOQ,CUST-GDWMSG,120,2024-12-15,Pending,Fiber 500 Mbps,PayPal
CUST-TWUNQS,CUST-FXVKSO,139,2024-12-16,Cancelled,TV + Internet Bundle,Direct Debit
CUST-UBXTFH,CUST-CXRNKY,52,2024-12-17,Completed,Fiber 500 Mbps,Credit Card
CUST-TKDKRD,CUST-IHRANO,117,2024-12-18,Completed,VoIP Service,PayPal
CUST-TVQQHZ,CUST-USJIBJ,80,2024-12-19,Cancelled,VoIP Service,Credit Card
CUST-ITXWOY,CUST-UYMUEM,99,2024-12-20,Pending,Fiber 1 Gbps,PayPal
CUST-GHAMSW,CUST-UMDOZP,88,2024-12-21,Pending,Fiber 500 Mbps,Direct Debit
CUST-AJNVFL,CUST-DFTMBB,53,2024-12-22,Cancelled,TV + Internet Bundle,Direct Debit
CUST-MJUWRE,CUST-PANJSA,83,2024-12-23,Completed,VoIP Service,Direct Debit
CUST-LMCIZQ,CUST-IETYRQ,142,2024-12-24,Cancelled,Fiber 500 Mbps,PayPal
CUST-MGYCTS,CUST-LFRXOC,84,2024-12-25,Completed,Fiber 500 Mbps,Credit Card
CUST-PBYBEF,CUST-SRKLWS,131,2024-12-26,Cancelled,VoIP Service,PayPal
CUST-RWKHRL,CUST-KTETHC,69,2024-12-27,Completed,Fiber 500 Mbps,Credit Card
CUST-UYKHYY,CUST-YFBUOE,130,2024-12-28,Pending,Mobile Unlimited,Credit Card
CUST-CNIFYU,CUST-ZKGLOG,61,2024-12-29,Completed,VoIP Service,PayPal
CUST-AZYWUU,CUST-DAYGHS,139,2024-12-30,Completed,Fiber 500 Mbps,Direct Debit
CUST-OFVUWZ,CUST-TWRMNI,34,2024-12-31,Pending,VoIP Service,Credit Card
CUST-AWZYRS,CUST-VSVZTH,79,2025-01-01,Pending,Fiber 500 Mbps,PayPal
CUST-IYDRRK,CUST-YYTWPG,73,2025-01-02,Cancelled,Mobile Unlimited,Credit Card
CUST-JJTHZB,CUST-PUTJMU,67,2025-01-03,Completed,VoIP Service,Direct Debit
CUST-WDRPTG,CUST-TAGWHT,70,2025-01-04,Cancelled,TV + Internet Bundle,Credit Card
CUST-WKEKZQ,CUST-SDMHQJ,148,2025-01-05,Pending,Mobile Unlimited,PayPal
CUST-PAEDKH,CUST-QCTBWO,73,2025-01-06,Pending,Fiber 500 Mbps,Direct Debit
CUST-CCZVKW,CUST-MBGHAU,81,2025-01-07,Completed,Fiber 1 Gbps,Direct Debit
CUST-EDDFYN,CUST-BFFQDK,79,2025-01-08,Completed,Mobile Unlimited,Direct Debit
CUST-VEJMKF,CUST-AXUZAC,79,2025-01-09,Cancelled,Fiber 1 Gbps,Credit Card
CUST-TRUGNJ,CUST-JTIFFT,56,2025-01-10,Completed,Fiber 1 Gbps,PayPal
CUST-XFDVCZ,CUST-RBSQJY,146,2025-01-11,Pending,Mobile Unlimited,PayPal
CUST-0ZPKNB,CUST-TZVJIZ,102,2025-01-12,Completed,Mobile Unlimited,Credit Card
CUST-FYIBGL,CUST-OEUUYQ,62,2025-01-13,Cancelled,Fiber 1 Gbps,PayPal
CUST-YCFFXE,CUST-CESZBM,49,2025-01-14,Completed,Mobile Unlimited,Credit Card
CUST-VPSAYF,CUST-PGJYWE,26,2025-01-15,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-XPZJUF,CUST-XLRRUX,99,2025-01-16,Pending,TV + Internet Bundle,Direct Debit
CUST-ZNPBGW,CUST-DHRXZG,79,2025-01-17,Cancelled,Fiber 1 Gbps,Direct Debit
CUST-AQABQF,CUST-QTNQOI,143,2025-01-18,Cancelled,Fiber 500 Mbps,Credit Card
CUST-HORSJD,CUST-MJAYVB,44,2025-01-19,Completed,TV + Internet Bundle,Direct Debit
CUST-GGOUTV,CUST-JNUKMM,100,2025-01-20,Pending,VoIP Service,Credit Card
CUST-FASWYY,CUST-KNYRYH,83,2025-01-21,Pending,Mobile Unlimited,Credit Card
CUST-IJWKCE,CUST-CAAFCG,35,2025-01-22,Cancelled,TV + Internet Bundle,Credit Card
CUST-MLYGCF,CUST-VZVPBN,76,2025-01-23,Completed,TV + Internet Bundle,PayPal
CUST-FEMNXA,CUST-HYEQJW,84,2025-01-24,Pending,TV + Internet Bundle,Direct Debit
CUST-BTBQKB,CUST-ULONWZ,82,2025-01-25,Cancelled,VoIP Service,Direct Debit
CUST-HSYYKA,CUST-DEIEWN,82,2025-01-26,Cancelled,VoIP Service,Credit Card
CUST-HMTBUJ,CUST-QBQDUW,119,2025-01-27,Completed,VoIP Service,PayPal
CUST-FFQOBM,CUST-ATHDUR,90,2025-01-28,Cancelled,TV + Internet Bundle,PayPal
CUST-TPVUQL,CUST-USLJOR,36,2025-01-29,Pending,Fiber 1 Gbps,PayPal
CUST-XNLVMW,CUST-FUKKFG,50,2025-01-30,Completed,Fiber 500 Mbps,PayPal
CUST-GAMIHC,CUST-BSLHFL,114,2025-01-31,Cancelled,Mobile Unlimited,Credit Card
CUST-XBJTDB,CUST-NAWWUX,40,2025-02-01,Completed,Fiber 1 Gbps,Direct Debit
CUST-IPVLAS,CUST-FUCXZL,131,2025-02-02,Pending,TV + Internet Bundle,Credit Card
CUST-SGBWNA,CUST-XOVPIH,117,2025-02-03,Cancelled,VoIP Service,PayPal
CUST-OHQNOB,CUST-ZRGZTN,98,2025-02-04,Pending,Mobile Unlimited,Direct Debit
CUST-EROIXL,CUST-KJWNWH,78,2025-02-05,Completed,VoIP Service,PayPal
CUST-OMAJRS,CUST-HTXTFQ,147,2025-02-06,Cancelled,VoIP Service,Credit Card
CUST-FLTJIY,CUST-BZVZZQ,112,2025-02-07,Pending,TV + Internet Bundle,Direct Debit
CUST-IIORWL,CUST-UYMUEM,79,2025-02-08,Completed,Fiber 1 Gbps,Direct Debit
CUST-VMHRWW,CUST-BCSN0D,50,2025-02-09,Cancelled,Fiber 500 Mbps,PayPal
CUST-YZONYE,CUST-APYJNO,85,2025-02-10,Completed,VoIP Service,PayPal
CUST-JAKMAA,CUST-VCRPEF,83,2025-02-11,Pending,Mobile Unlimited,Direct Debit
CUST-ULJXVU,CUST-UCHEID,107,2025-02-12,Cancelled,VoIP Service,PayPal
CUST-SEIMVV,CUST-VIQSLN,86,2025-02-13,Pending,Mobile Unlimited,Credit Card
CUST-WWMIHR,CUST-DINJBI,84,2025-02-14,Completed,TV + Internet Bundle,Credit Card
CUST-IUOWOB,CUST-TJWLZE,108,2025-02-15,Cancelled,Fiber 1 Gbps,Direct Debit
CUST-FCAQSH,CUST-MQFIYA,54,2025-02-16,Completed,VoIP Service,PayPal
CUST-LYKWLJ,CUST-FXVKSO,52,2025-02-17,Pending,Fiber 500 Mbps,PayPal
CUST-CEQAHA,CUST-DCBCIF,129,2025-02-18,Pending,Fiber 500 Mbps,Credit Card
CUST-QIXPHI,CUST-CTECGK,34,2025-02-19,Pending,VoIP Service,Credit Card
CUST-YWLPEO,CUST-SNEUBT,108,2025-02-20,Completed,Mobile Unlimited,Credit Card
CUST-OOOXHI,CUST-GXVXFY,121,2025-02-21,Pending,TV + Internet Bundle,Direct Debit
CUST-KBZLBS,CUST-XOVPIH,86,2025-02-22,Pending,Mobile Unlimited,Credit Card
CUST-GKSVYY,CUST-HCBSEU,133,2025-02-23,Pending,Mobile Unlimited,PayPal
CUST-RXOSYP,CUST-YOXXWE,46,2025-02-24,Cancelled,Fiber 500 Mbps,PayPal
CUST-JVCYWK,CUST-BUBJHF,26,2025-02-25,Cancelled,VoIP Service,PayPal
CUST-TWZMEN,CUST-SVZRPL,133,2025-02-26,Pending,VoIP Service,Credit Card
CUST-FRQYLG,CUST-WGQLZM,39,2025-02-27,Cancelled,Mobile Unlimited,Credit Card
CUST-CMTQJK,CUST-EYOSLA,21,2025-02-28,Completed,TV + Internet Bundle,Credit Card
CUST-ASBUMF,CUST-EYOSLA,106,2025-03-01,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-RDWYBQ,CUST-TIEYQZ,121,2025-03-02,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-UYQWPK,CUST-ILFPOV,110,2025-03-03,Pending,Fiber 500 Mbps,Credit Card
CUST-IIIDVS,CUST-HLJBYT,22,2025-03-04,Cancelled,Mobile Unlimited,PayPal
CUST-HCTHMU,CUST-FVYJPJ,31,2025-03-05,Cancelled,Mobile Unlimited,Credit Card
CUST-VHAPMA,CUST-WPIIDZ,38,2025-03-06,Completed,Mobile Unlimited,Direct Debit
CUST-QCYRZC,CUST-GIOCRV,139,2025-03-07,Pending,Fiber 1 Gbps,Direct Debit
CUST-QDSFFL,CUST-ISEQUK,62,2025-03-08,Completed,Fiber 1 Gbps,Direct Debit
CUST-USKQDW,CUST-FRIDUZ,74,2025-03-09,Cancelled,Fiber 500 Mbps,Credit Card
CUST-BAHMPM,CUST-TRMNQN,89,2025-03-10,Cancelled,Mobile Unlimited,PayPal
CUST-SWHNEW,CUST-NBXRAA,59,2025-03-11,Completed,VoIP Service,Credit Card
CUST-DBXUTD,CUST-AXIFAK,76,2025-03-12,Cancelled,TV + Internet Bundle,Direct Debit
CUST-OTKVGS,CUST-EKJSXF,113,2025-03-13,Pending,Fiber 500 Mbps,Credit Card
CUST-TGHSWD,CUST-PKJHHR,25,2025-03-14,Completed,Fiber 500 Mbps,Direct Debit
CUST-GMWYKI,CUST-ZUCXJW,76,2025-03-15,Cancelled,Mobile Unlimited,Direct Debit
CUST-FWUBOS,CUST-PCKIPI,86,2025-03-16,Cancelled,TV + Internet Bundle,PayPal
CUST-AKQNCO,CUST-LVVBXE,91,2025-03-17,Completed,Mobile Unlimited,Direct Debit
CUST-JMDIXQ,CUST-UAUBYI,100,2025-03-18,Pending,Fiber 500 Mbps,Direct Debit
CUST-IGSOAR,CUST-LQZSUN,97,2025-03-19,Completed,TV + Internet Bundle,Direct Debit
CUST-JRXJWG,CUST-TNVUED,60,2025-03-20,Completed,Mobile Unlimited,PayPal
CUST-ETKANX,CUST-NWOXAQ,78,2025-03-21,Completed,TV + Internet Bundle,Direct Debit
CUST-XJMHBQ,CUST-CQHVME,141,2025-03-22,Cancelled,Fiber 500 Mbps,Direct Debit
CUST-SYAPVX,CUST-GSMMUO,32,2025-03-23,Pending,Fiber 500 Mbps,PayPal
CUST-YETOYB,CUST-NPUITQ,62,2025-03-24,Completed,VoIP Service,PayPal
CUST-CFNPHH,CUST-TYKDYX,148,2025-03-25,Cancelled,VoIP Service,Credit Card
CUST-BJTFNE,CUST-KODHFY,69,2025-03-26,Pending,VoIP Service,Credit Card
CUST-GICCWE,CUST-EZGXJU,96,2025-03-27,Completed,Mobile Unlimited,Direct Debit
CUST-QOPJRQ,CUST-INYAMS,48,2025-03-28,Completed,Fiber 500 Mbps,Direct Debit
CUST-JVSLTH,CUST-HUZNHA,43,2025-03-29,Pending,VoIP Service,PayPal
CUST-VGYLIO,CUST-ZBNMQD,75,2025-03-30,Completed,TV + Internet Bundle,Direct Debit
CUST-AHOQYN,CUST-IIXSHB,63,2025-03-31,Pending,Fiber 1 Gbps,Direct Debit
CUST-KCBVGZ,CUST-LRUTQF,116,2025-04-01,Pending,Mobile Unlimited,Direct Debit
CUST-SCCYGR,CUST-SRCUIL,30,2025-04-02,Completed,VoIP Service,Direct Debit
CUST-HUBEBA,CUST-RXSBMI,25,2025-04-03,Cancelled,VoIP Service,Direct Debit
CUST-XIEUJB,CUST-YCNWDU,80,2025-04-04,Completed,VoIP Service,Direct Debit
CUST-HRTVSK,CUST-RNJKQJ,102,2025-04-05,Completed,Fiber 500 Mbps,Direct Debit
CUST-SYKHYT,CUST-VYAAJB,42,2025-04-06,Cancelled,VoIP Service,PayPal
CUST-U0FSKJ,CUST-XLMHAO,65,2025-04-07,Pending,Fiber 1 Gbps,Direct Debit
CUST-KNZXZM,CUST-NHGHGL,127,2025-04-08,Pending,TV + Internet Bundle,Direct Debit
CUST-CGUUOP,CUST-ZQNUDE,81,2025-04-09,Completed,VoIP Service,Direct Debit
CUST-AOUUMY,CUST-DICYMM,108,2025-04-10,Pending,VoIP Service,Credit Card
CUST-OGMABA,CUST-FJCOQA,41,2025-04-11,Pending,Fiber 1 Gbps,Credit Card
CUST-ZZZMJH,CUST-UGYEEN,117,2025-04-12,Pending,Fiber 500 Mbps,Credit Card
CUST-WBSULP,CUST-TROHDX,26,2025-04-13,Completed,Fiber 500 Mbps,Credit Card
CUST-LVNESF,CUST-APYJNO,93,2025-04-14,Completed,Fiber 1 Gbps,Credit Card
CUST-ZDQURU,CUST-WGWTPW,118,2025-04-15,Completed,Fiber 500 Mbps,Credit Card
CUST-ANGKSR,CUST-SLNJSQ,39,2025-04-16,Cancelled,Mobile Unlimited,Direct Debit
CUST-VPRPFZ,CUST-QIWXYG,143,2025-04-17,Completed,Fiber 1 Gbps,PayPal
CUST-RLATVD,CUST-RPKSUW,37,2025-04-18,Completed,Fiber 1 Gbps,Direct Debit
CUST-TCVAIV,CUST-VYLDOZ,31,2025-04-19,Completed,Fiber 1 Gbps,PayPal
CUST-QGPHPJ,CUST-VYRHRH,39,2025-04-20,Pending,Fiber 500 Mbps,PayPal
CUST-OTVQWD,CUST-GLBAGE,62,2025-04-21,Completed,TV + Internet Bundle,Direct Debit
CUST-HJLCCJ,CUST-IDVYOK,22,2025-04-22,Completed,Mobile Unlimited,PayPal
CUST-ZVIXAY,CUST-HWATOI,102,2025-04-23,Completed,TV + Internet Bundle,Credit Card
CUST-ZFQGLK,CUST-AXWNZB,28,2025-04-24,Completed,VoIP Service,Direct Debit
CUST-ELAHMW,CUST-RBSQJY,27,2025-04-25,Pending,Fiber 1 Gbps,Direct Debit
CUST-RIJTUV,CUST-XPETTM,53,2025-04-26,Completed,VoIP Service,Credit Card
CUST-EUKNVE,CUST-UEGKDS,142,2025-04-27,Completed,Fiber 500 Mbps,PayPal
CUST-ZKYQDX,CUST-BSIJPB,29,2025-04-28,Completed,VoIP Service,Credit Card
CUST-ARNLIK,CUST-BXADMI,102,2025-04-29,Cancelled,Fiber 500 Mbps,Credit Card
CUST-DXJMYU,CUST-DICFBV,85,2025-04-30,Completed,Fiber 500 Mbps,Credit Card
CUST-HCGAJP,CUST-MVLPBX,130,2025-05-01,Pending,Mobile Unlimited,PayPal
CUST-RYHJWG,CUST-VKHWHK,53,2025-05-02,Cancelled,Mobile Unlimited,Direct Debit
CUST-ZFDMFH,CUST-FSQAXB,109,2025-05-03,Pending,Mobile Unlimited,Credit Card
CUST-JSOAMA,CUST-CGHARR,64,2025-05-04,Pending,Fiber 1 Gbps,Credit Card
CUST-HXYHQP,CUST-RCZDAC,96,2025-05-05,Pending,Fiber 500 Mbps,Direct Debit
CUST-GQAYMV,CUST-NWJEHT,52,2025-05-06,Completed,Fiber 1 Gbps,Credit Card
CUST-NJVCHO,CUST-VRZQZI,57,2025-05-07,Pending,Mobile Unlimited,Direct Debit
CUST-VWVKVE,CUST-YUVQYY,74,2025-05-08,Completed,Fiber 1 Gbps,Direct Debit
CUST-VQKEFS,CUST-MLJRYA,90,2025-05-09,Cancelled,VoIP Service,Direct Debit
CUST-PRGCAU,CUST-JJVZUL,146,2025-05-10,Completed,VoIP Service,Direct Debit
CUST-LZBQEB,CUST-HSADJP,77,2025-05-11,Pending,VoIP Service,PayPal
CUST-RR0NC0,CUST-RKAYXK,104,2025-05-12,Completed,Mobile Unlimited,PayPal
CUST-UFQEIM,CUST-CJGEMY,37,2025-05-13,Cancelled,VoIP Service,PayPal
